"name";"rating";"genre";"year";"released";"score";"votes";"director";"writer";"star";"country";"budget";"gross";"company";"runtime"
"Breakin'";"PG";"Comedy";1984;"May 4, 1984 (United States)";5.8;6000.0;"Joel Silberg";"Charles Parker";"Lucinda Dickey";"United States";0;"38682707.0";"Golan-Globus Productions";90.0
"Birdy";"R";"Drama";1984;"December 21, 1984 (United States)";7.3;22000.0;"Alan Parker";"William Wharton";"Matthew Modine";"United States";12000000;"1455045.0";"A&M Films";120.0
"The Company of Wolves";"R";"Drama";1984;"April 19, 1985 (United States)";6.7;15000.0;"Neil Jordan";"Angela Carter";"Sarah Patterson";"United Kingdom";2000000;"4389334.0";"Incorporated Television Company (ITC)";95.0
"Ghoulies";"PG-13";"Comedy";1984;"January 18, 1985 (United States)";4.2;8400.0;"Luca Bercovici";"Luca Bercovici";"Peter Liapis";"United States";5500000;"";"Empire Pictures";81.0
"Electric Dreams";"PG";"Comedy";1984;"July 20, 1984 (United States)";6.5;7100.0;"Steve Barron";"Rusty Lemorande";"Lenny von Dohlen";"United States";0;"2193612.0";"Virgin";95.0
"Cloak & Dagger";"PG";"Action";1984;"August 10, 1984 (United States)";6.6;7000.0;"Richard Franklin";"Tom Holland";"Henry Thomas";"United States";0;"";"Universal Pictures";101.0
"Racing with the Moon";"PG";"Comedy";1984;"March 23, 1984 (United States)";6.7;4200.0;"Richard Benjamin";"Steve Kloves";"Sean Penn";"United States";6500000;"6045647.0";"Jaffe-Lansing";108.0
"Silent Night, Deadly Night";"R";"Horror";1984;"November 9, 1984 (United States)";5.9;14000.0;"Charles E. Sellier Jr.";"Paul Caimi";"Lilyan Chauvin";"United States";1065000;"2491460.0";"TriStar Pictures";79.0
"The Pope of Greenwich Village";"R";"Action";1984;"June 22, 1984 (United States)";6.7;8000.0;"Stuart Rosenberg";"Vincent Patrick";"Eric Roberts";"United States";8000000;"6836201.0";"United Artists";121.0
"All of Me";"PG";"Comedy";1984;"September 21, 1984 (United States)";6.7;17000.0;"Carl Reiner";"Edwin Davis";"Steve Martin";"United States";0;"36403064.0";"Kings Road Entertainment";93.0
"Grandview, U.S.A.";"R";"Drama";1984;"August 3, 1984 (United States)";5.4;1800.0;"Randal Kleiser";"Ken Hixon";"Jamie Lee Curtis";"United States";0;"4743119.0";"CBS Theatrical Films";97.0
"Where the Boys Are";"R";"Comedy";1984;"April 6, 1984 (United States)";4.1;983.0;"Hy Averback";"Stu Krieger";"Lisa Hartman";"United Kingdom";0;"10530000.0";"Incorporated Television Company (ITC)";94.0
"Reckless";"R";"Comedy";1984;"February 3, 1984 (United States)";6.3;1900.0;"James Foley";"Chris Columbus";"Aidan Quinn";"United States";0;"8289916.0";"Edgar J. Scherick Associates";90.0
"Tightrope";"R";"Crime";1984;"August 17, 1984 (United States)";6.3;16000.0;"Richard Tuggle";"Richard Tuggle";"Clint Eastwood";"United States";0;"48143579.0";"The Malpaso Company";114.0
"Rhinestone";"PG";"Comedy";1984;"June 22, 1984 (United States)";3.9;7000.0;"Bob Clark";"Phil Alden Robinson";"Sylvester Stallone";"United States";28000000;"21435321.0";"Twentieth Century Fox";111.0
"The Flamingo Kid";"PG-13";"Comedy";1984;"December 21, 1984 (United States)";6.2;5000.0;"Garry Marshall";"Neal Marshall";"Matt Dillon";"United States";0;"23859382.0";"ABC Motion Pictures";100.0
"Up the Creek";"R";"Comedy";1984;"April 6, 1984 (United States)";5.6;3300.0;"Robert Butler";"Jim Kouf";"Tim Matheson";"United States";0;"11708269.0";"Orion Pictures";96.0
"Swing Shift";"PG";"Drama";1984;"April 13, 1984 (United States)";5.9;4400.0;"Jonathan Demme";"Nancy Dowd";"Goldie Hawn";"United States";15000000;"6650206.0";"Warner Bros.";100.0
"Beat Street";"PG";"Drama";1984;"June 8, 1984 (United States)";6.5;3600.0;"Stan Lathan";"Steven Hager";"Rae Dawn Chong";"United States";9500000;"16595791.0";"Orion Pictures";105.0
"Joy of Sex";"R";"Comedy";1984;"August 3, 1984 (United States)";3.7;705.0;"Martha Coolidge";"Kathleen Rowell";"Cameron Dye";"United States";0;"4463841.0";"Paramount Pictures";93.0
"Breakin' 2: Electric Boogaloo";"PG";"Comedy";1984;"December 21, 1984 (United States)";5.1;3900.0;"Sam Firstenberg";"Charles Parker";"Lucinda Dickey";"United States";0;"15101131.0";"TriStar Pictures";94.0
"The Razor's Edge";"PG-13";"Drama";1984;"October 19, 1984 (United States)";6.6;5100.0;"John Byrum";"W. Somerset Maugham";"Bill Murray";"United Kingdom";13000000;"6551987.0";"Columbia Pictures";128.0
"Tank";"PG";"Action";1984;"March 16, 1984 (United States)";5.8;4100.0;"Marvin J. Chomsky";"Dan Gordon";"James Garner";"United States";0;"11302884.0";"Lorimar Film Entertainment";113.0
"Moscow on the Hudson";"R";"Comedy";1984;"April 6, 1984 (United States)";6.5;11000.0;"Paul Mazursky";"Paul Mazursky";"Robin Williams";"United States";13000000;"25068724.0";"Bavaria Film";115.0
"Ninja III: The Domination";"R";"Action";1984;"September 14, 1984 (United States)";5.4;4200.0;"Sam Firstenberg";"James R. Silke";"Shô Kosugi";"United States";0;"7610785.0";"Golan-Globus Productions";92.0
"The Warrior and the Sorceress";"R";"Adventure";1984;"September 7, 1984 (United States)";4.3;1700.0;"John C. Broderick";"John C. Broderick";"David Carradine";"United States";0;"2886225.0";"Aries Cinematográfica Argentina";81.0
"The Evil That Men Do";"R";"Action";1984;"September 21, 1984 (United States)";6.0;3600.0;"J. Lee Thompson";"R. Lance Hill";"Charles Bronson";"Mexico";4600000;"13102025.0";"Capricorn";90.0
"Firstborn";"R";"Drama";1984;"October 26, 1984 (United States)";6.2;2300.0;"Michael Apted";"Ron Koslow";"Teri Garr";"United States";8000000;"6250994.0";"Paramount Pictures";103.0
"Cut and Run";"R";"Adventure";1984;"May 2, 1986 (United States)";5.7;2100.0;"Ruggero Deodato";"Cesare Frugoni";"Lisa Blount";"Italy";0;"";"Racing Pictures";90.0
"Teachers";"R";"Comedy";1984;"October 5, 1984 (United States)";6.1;4000.0;"Arthur Hiller";"W.R. McKinney";"Nick Nolte";"United States";9000000;"27774237.0";"United Artists";107.0
"Repentance";"PG";"Drama";1984;"May 18, 1987 (Denmark)";8.3;4100.0;"Tengiz Abuladze";"Tengiz Abuladze";"Avtandil Makharadze";"Soviet Union";0;"";"Georgian-Film";153.0
"The River";"PG-13";"Drama";1984;"January 11, 1985 (United States)";6.3;6500.0;"Mark Rydell";"Robert Dillon";"Mel Gibson";"United States";18000000;"11489982.0";"Universal Pictures";124.0
"Razorback";"R";"Horror";1984;"November 16, 1984 (United States)";6.0;6100.0;"Russell Mulcahy";"Everett De Roche";"Gregory Harrison";"Australia";0;"150463.0";"UAA Films";95.0
"A Soldier's Story";"PG";"Crime";1984;"November 2, 1984 (United States)";7.2;9300.0;"Norman Jewison";"Charles Fuller";"Howard E. Rollins Jr.";"United States";6000000;"21821347.0";"Columbia Pictures";101.0
"Comfort and Joy";"PG";"Comedy";1984;"October 10, 1984 (United States)";6.7;1900.0;"Bill Forsyth";"Bill Forsyth";"Bill Paterson";"United Kingdom";0;"1057368.0";"Lake (Comfort and Joy)";106.0
"Meatballs Part II";"PG";"Comedy";1984;"July 27, 1984 (United States)";3.7;2300.0;"Ken Wiederhorn";"Martin Kitrosser";"Richard Mulligan";"United States";0;"5410972.0";"TriStar Pictures";87.0
"Lassiter";"R";"Action";1984;"February 17, 1984 (United States)";5.9;2200.0;"Roger Young";"David Taylor";"Tom Selleck";"United States";0;"17513452.0";"Golden Harvest Company";100.0
"Irreconcilable Differences";"PG";"Comedy";1984;"September 28, 1984 (United States)";5.8;2900.0;"Charles Shyer";"Nancy Meyers";"Ryan O'Neal";"United States";6000000;"12414210.0";"Hemdale";113.0
"City Heat";"PG";"Action";1984;"December 7, 1984 (United States)";5.5;9300.0;"Richard Benjamin";"Blake Edwards";"Clint Eastwood";"United States";25000000;"38348988.0";"Warner Bros.";93.0
"Under the Volcano";"R";"Drama";1984;"June 13, 1984 (United States)";7.0;5100.0;"John Huston";"Malcolm Lowry";"Albert Finney";"Mexico";0;"2556800.0";"Conacite Uno";112.0
"Iceman";"PG";"Drama";1984;"April 13, 1984 (United States)";6.1;5300.0;"Fred Schepisi";"Chip Proser";"Timothy Hutton";"United States";0;"7343032.0";"Universal Pictures";100.0
"Flashpoint";"R";"Action";1984;"August 31, 1984 (United States)";6.4;2300.0;"William Tannen";"George LaFountaine";"Kris Kristofferson";"United States";10000000;"3854833.0";"HBO Pictures";93.0
"The Little Drummer Girl";"R";"Drama";1984;"October 19, 1984 (United States)";6.1;2000.0;"George Roy Hill";"Loring Mandel";"Diane Keaton";"United States";0;"7828841.0";"Bavaria Film";130.0
"Lust in the Dust";"R";"Comedy";1984;"March 1, 1985 (United States)";6.4;3000.0;"Paul Bartel";"Philip John Taylor";"Tab Hunter";"United States";3000000;"727639.0";"Fox Run Productions Inc.";84.0
"Hot Moves";"R";"Comedy";1984;"October 4, 1984 (United States)";4.8;619.0;"Jim Sotos";"Larry Anderson";"Michael Zorek";"United States";0;"2732684.0";"Spectrum Cinema Productions";85.0
"Oxford Blues";"PG-13";"Comedy";1984;"August 24, 1984 (United States)";5.3;3000.0;"Robert Boris";"Robert Boris";"Rob Lowe";"United Kingdom";0;"8793152.0";"Baltic Industrial Finance";97.0
"Thief of Hearts";"Not Rated";"Crime";1984;"October 19, 1984 (United States)";5.8;1600.0;"Douglas Day Stewart";"Douglas Day Stewart";"Steven Bauer";"United States";9000000;"10435015.0";"Don Simpson/Jerry Bruckheimer Films";100.0
"The Brother from Another Planet";"R";"Comedy";1984;"September 14, 1984 (United States)";6.8;5700.0;"John Sayles";"John Sayles";"Joe Morton";"United States";350000;"3677209.0";"Anarchist's Convention Films";108.0
"No Small Affair";"R";"Comedy";1984;"November 9, 1984 (United States)";5.5;2000.0;"Jerry Schatzberg";"Craig Bolotin";"Jon Cryer";"United States";0;"4994094.0";"Delphi II Productions";102.0
"Broadway Danny Rose";"PG";"Comedy";1984;"January 27, 1984 (United States)";7.4;24000.0;"Woody Allen";"Woody Allen";"Woody Allen";"United States";8000000;"10600497.0";"Orion Pictures";84.0
"Best Defense";"R";"Comedy";1984;"July 20, 1984 (United States)";3.8;5600.0;"Willard Huyck";"Robert Grossbach";"Dudley Moore";"United States";18000000;"19265302.0";"Cinema Group Ventures";94.0
"Micki + Maude";"PG-13";"Comedy";1984;"December 21, 1984 (United States)";6.0;2800.0;"Blake Edwards";"Jonathan Reynolds";"Dudley Moore";"United States";15100000;"26080861.0";"BBE";118.0
"Protocol";"PG";"Comedy";1984;"December 21, 1984 (United States)";5.5;4600.0;"Herbert Ross";"Buck Henry";"Goldie Hawn";"United States";12000000;"26186631.0";"Hawn / Sylbert Movie Company";96.0
"Exterminator 2";"R";"Action";1984;"September 14, 1984 (United States)";4.5;2000.0;"Mark Buntzman";"Mark Buntzman";"Robert Ginty";"United States";0;"3739406.0";"The Cannon Group";89.0
"American Dreamer";"PG";"Comedy";1984;"October 26, 1984 (United States)";6.6;1400.0;"Rick Rosenthal";"Ann Biderman";"JoBeth Williams";"United States";0;"5021751.0";"CBS Theatrical Films";105.0
"The Lonely Guy";"R";"Comedy";1984;"January 27, 1984 (United States)";6.3;6800.0;"Arthur Hiller";"Ed. Weinberger";"Steve Martin";"United States";0;"5718573.0";"Universal Pictures";90.0
"Choose Me";"R";"Comedy";1984;"August 29, 1984 (United States)";6.8;2600.0;"Alan Rudolph";"Alan Rudolph";"Geneviève Bujold";"United States";700000;"2490233.0";"Tartan Productions";106.0
"Making the Grade";"R";"Comedy";1984;"May 18, 1984 (United States)";5.7;1300.0;"Dorian Walker";"Gene Quintano";"Judd Nelson";"United States";0;"4561346.0";"The Cannon Group";105.0
"Full Moon in Paris";"R";"Comedy";1984;"August 29, 1984 (France)";7.4;4200.0;"Éric Rohmer";"Éric Rohmer";"Pascale Ogier";"France";0;"15726.0";"Les Films du Losange";101.0
"Unfaithfully Yours";"PG";"Comedy";1984;"February 10, 1984 (United States)";6.0;2600.0;"Howard Zieff";"Preston Sturges";"Dudley Moore";"United States";12000000;"19928200.0";"Twentieth Century Fox";96.0
"Impulse";"R";"Horror";1984;"September 28, 1984 (United States)";5.9;1300.0;"Graham Baker";"Nicholas Kazan";"Tim Matheson";"United States";10000000;"2773433.0";"ABC Motion Pictures";91.0
"Mrs. Soffel";"PG-13";"Drama";1984;"February 8, 1985 (United States)";6.1;3000.0;"Gillian Armstrong";"Ron Nyswaner";"Diane Keaton";"United States";11000000;"4385312.0";"Edgar J. Scherick Associates";110.0
"Garbo Talks";"PG-13";"Comedy";1984;"October 12, 1984 (United States)";6.4;1500.0;"Sidney Lumet";"Larry Grusin";"Anne Bancroft";"United States";0;"1493782.0";"United Artists";103.0
"Country";"PG";"Drama";1984;"September 29, 1984 (United States)";6.7;1800.0;"Richard Pearce";"William D. Wittliff";"Jessica Lange";"United States";0;"9640000.0";"Far West";105.0
"Cheech & Chong's the Corsican Brothers";"PG";"Comedy";1984;"July 27, 1984 (United States)";4.7;3900.0;"Tommy Chong";"Tommy Chong";"Cheech Marin";"United States";0;"3772785.0";"Orion Pictures";82.0
"Purple Hearts";"R";"Drama";1984;"August 31, 1984 (West Germany)";5.8;816.0;"Sidney J. Furie";"Rick Natkin";"Ken Wahl";"United States";0;"2075282.0";"The Ladd Company";116.0
"Give My Regards to Broad Street";"PG";"Drama";1984;"October 23, 1984 (United States)";5.2;1400.0;"Peter Webb";"Paul McCartney";"Paul McCartney";"United Kingdom";9000000;"1393501.0";"MPL Communications";108.0
"Songwriter";"R";"Drama";1984;"October 14, 1984 (United States)";6.3;599.0;"Alan Rudolph";"Bud Shrake";"Willie Nelson";"United States";0;"865915.0";"TriStar Pictures";94.0
"Finders Keepers";"R";"Comedy";1984;"May 18, 1984 (United States)";5.4;856.0;"Richard Lester";"Charles Dennis";"Michael O'Keefe";"United States";7000000;"1467396.0";"CBS Theatrical Films";96.0
"The Bostonians";"Not Rated";"Drama";1984;"October 5, 1984 (United Kingdom)";6.3;1800.0;"James Ivory";"Henry James";"Christopher Reeve";"United Kingdom";0;"1009700.0";"Merchant Ivory Productions";122.0
"Body Rock";"PG-13";"Drama";1984;"September 28, 1984 (United States)";3.7;446.0;"Marcelo Epstein";"Desmond Nakano";"Lorenzo Lamas";"United States";0;"1689501.0";"New World Pictures";93.0
"The River Rat";"PG";"Adventure";1984;"September 28, 1984 (United States)";6.3;866.0;"Thomas Rickman";"Thomas Rickman";"Tommy Lee Jones";"United States";0;"1142944.0";"Cinema Group Ventures";93.0
"Just the Way You Are";"PG";"Comedy";1984;"November 16, 1984 (United States)";5.9;807.0;"Édouard Molinaro";"Allan Burns";"Kristy McNichol";"United States";0;"7889694.0";"Metro-Goldwyn-Mayer (MGM)";94.0
"Until September";"R";"Drama";1984;"September 21, 1984 (United States)";5.7;634.0;"Richard Marquand";"Janice Lee Graham";"Karen Allen";"United States";0;"4239154.0";"United Artists";95.0
"Crackers";"PG";"Adventure";1984;"February 17, 1984 (United States)";5.2;1200.0;"Louis Malle";"Jeffrey Alan Fiskin";"Donald Sutherland";"United States";12000000;"129268.0";"Universal Pictures";91.0
"Kaos";"R";"Comedy";1984;"February 14, 1986 (United States)";7.9;2700.0;"Paolo Taviani";"Luigi Pirandello";"Margarita Lozano";"Italy";0;"";"Filmtre";187.0
"Misunderstood";"PG";"Drama";1984;"March 30, 1984 (United States)";6.0;440.0;"Jerry Schatzberg";"Florence Montgomery";"Gene Hackman";"Italy";0;"1525532.0";"ACCENT Films";91.0
"Mike's Murder";"R";"Drama";1984;"March 9, 1984 (United States)";5.8;822.0;"James Bridges";"James Bridges";"Debra Winger";"United States";6300000;"1059966.0";"Skyewiay";109.0
"The Buddy System";"PG";"Drama";1984;"January 20, 1984 (United States)";5.7;794.0;"Glenn Jordan";"Mary Agnes Donoghue";"Richard Dreyfuss";"United States";0;"1820049.0";"Twentieth Century Fox";110.0
"A Private Function";"R";"Comedy";1984;"March 1, 1985 (United States)";6.5;2600.0;"Malcolm Mowbray";"Alan Bennett";"Michael Palin";"United Kingdom";0;"2527088.0";"HandMade Films";92.0
"Scandalous";"PG";"Comedy";1984;"January 20, 1984 (United States)";4.5;212.0;"Rob Cohen";"Larry Cohen";"Robert Hays";"United Kingdom";0;"526805.0";"Angeles Cinema Investors";92.0
"Oh, God! You Devil";"PG";"Comedy";1984;"November 9, 1984 (United States)";5.4;2400.0;"Paul Bogart";"Andrew Bergman";"George Burns";"United States";0;"21538850.0";"Warner Bros.";97.0
"The Bay Boy";"R";"Drama";1984;"February 15, 1985 (United States)";6.3;653.0;"Daniel Petrie";"Daniel Petrie";"Liv Ullmann";"Canada";0;"162364.0";"International Cinema Corporation (ICC)";107.0
"Heavenly Bodies";"R";"Drama";1984;"February 1, 1985 (United States)";5.2;733.0;"Lawrence Dane";"Lawrence Dane";"Cynthia Dale";"Canada";0;"1839623.0";"Producers Sales Organization (PSO)";90.0
"Heartbreakers";"R";"Drama";1984;"September 28, 1984 (United States)";5.9;456.0;"Bobby Roth";"Bobby Roth";"Peter Coyote";"United States";0;"148750.0";"Jethro Films Production";98.0
"Champions";"PG";"Biography";1984;"April 20, 1984 (United States)";6.5;586.0;"John Irvin";"Bob Champion";"John Hurt";"United Kingdom";0;"200498.0";"Archerwest";106.0
"A Sunday in the Country";"G";"Drama";1984;"April 11, 1984 (France)";7.6;2500.0;"Bertrand Tavernier";"Pierre Bost";"Louis Ducreux";"France";0;"2411143.0";"Films A2";90.0
"Mass Appeal";"PG";"Drama";1984;"December 14, 1984 (United States)";6.6;952.0;"Glenn Jordan";"Bill C. Davis";"Jack Lemmon";"United States";0;"1945658.0";"David Foster Productions";99.0
"Windy City";"R";"Drama";1984;"January 1, 1986 (Uruguay)";5.8;262.0;"Armyan Bernstein";"Armyan Bernstein";"John Shea";"United States";0;"343890.0";"CBS Theatrical Films";103.0
"Lovelines";"R";"Comedy";1984;"November 2, 1984 (United States)";5.3;241.0;"Rod Amateau";"Chip Hand";"Greg Bradford";"United States";0;"";"Delphi II Productions";93.0
"The Bear";"PG";"Biography";1984;"September 28, 1984 (United States)";6.1;270.0;"Richard C. Sarafian";"Michael Kane";"Gary Busey";"United States";221000;"2687148.0";"";110.0
"Weekend Pass";"R";"Comedy";1984;"February 3, 1984 (United States)";3.8;424.0;"Lawrence Bassoff";"Lawrence Bassoff";"Patrick Houser";"United States";0;"21058033.0";"Marimark Productions";88.0
"Over the Brooklyn Bridge";"R";"Comedy";1984;"March 2, 1984 (United States)";5.7;1400.0;"Menahem Golan";"Arnold Somkin";"Elliott Gould";"United States";0;"837914.0";"City Films";108.0
"Fast Talking";"Not Rated";"Drama";1984;"April 23, 1986 (United States)";6.9;94.0;"Ken Cameron";"Ken Cameron";"Steve Bisley";"Australia";0;"";"Filmtrex";95.0
"Lily in Love";"PG-13";"Comedy";1984;"April 19, 1985 (United States)";5.7;184.0;"Károly Makk";"Frank Cucci";"Christopher Plummer";"Hungary";0;"";"Hungarofilm";90.0
"Winter Flight";"";"Drama";1984;"February 14, 1986 (United States)";7.3;67.0;"Roy Battersby";"Alan Janes";"Reece Dinsdale";"United Kingdom";0;"2729.0";"Enigma Productions";89.0
"Almost You";"R";"Comedy";1984;"March 29, 1985 (United States)";5.1;216.0;"Adam Brooks";"Adam Brooks";"Brooke Adams";"United States";1000000;"95000.0";"Almost You";96.0
"The Adventures of Pinocchio";"Not Rated";"Animation";1984;"June 8, 1984 (United States)";5.1;73.0;"Ippei Kuri";"Donald Paonessa";"Danielle Romeo";"United States";0;"";"Century Video Corporation";98.0
"Blame It on the Night";"PG-13";"Comedy";1984;"November 2, 1984 (United States)";5.1;172.0;"Gene Taft";"Gene Taft";"Nick Mancuso";"United States";0;"";"Delphi II Productions";85.0
"Petit Con";"R";"Comedy";1984;"April 19, 1985 (United States)";6.2;105.0;"Gérard Lauzier";"Gérard Lauzier";"Guy Marchand";"France";0;"127426.0";"Gaumont International";90.0
"Weird Science";"PG-13";"Comedy";1985;"August 2, 1985 (United States)";6.6;83000.0;"John Hughes";"John Hughes";"Anthony Michael Hall";"United States";7500000;"38934048.0";"Universal Pictures";94.0
"The Goonies";"PG";"Adventure";1985;"June 7, 1985 (United States)";7.8;252000.0;"Richard Donner";"Chris Columbus";"Sean Astin";"United States";19000000;"63980721.0";"Warner Bros.";114.0
"Back to the Future";"PG";"Adventure";1985;"July 3, 1985 (United States)";8.5;1100000.0;"Robert Zemeckis";"Robert Zemeckis";"Michael J. Fox";"United States";19000000;"381906762.0";"Universal Pictures";116.0
"To Live and Die in L.A.";"R";"Action";1985;"November 1, 1985 (United States)";7.3;31000.0;"William Friedkin";"Gerald Petievich";"William Petersen";"United States";6000000;"17307019.0";"SLM Production Group";116.0
"Clue";"PG";"Comedy";1985;"December 13, 1985 (United States)";7.3;88000.0;"Jonathan Lynn";"John Landis";"Eileen Brennan";"United States";15000000;"14643997.0";"Paramount Pictures";94.0
"The Breakfast Club";"R";"Comedy";1985;"February 15, 1985 (United States)";7.8;367000.0;"John Hughes";"John Hughes";"Emilio Estevez";"United States";1000000;"51525171.0";"Universal Pictures";97.0
"Cocoon";"PG-13";"Comedy";1985;"June 21, 1985 (United States)";6.7;59000.0;"Ron Howard";"Tom Benedek";"Don Ameche";"United States";17500000;"85313124.0";"Twentieth Century Fox";117.0
"Rambo: First Blood Part II";"R";"Action";1985;"May 22, 1985 (United States)";6.5;159000.0;"George P. Cosmatos";"David Morrell";"Sylvester Stallone";"United States";44000000;"300400432.0";"Estudios Churubusco Azteca S.A.";96.0
"Mask";"PG-13";"Biography";1985;"March 22, 1985 (United States)";7.2;27000.0;"Peter Bogdanovich";"Anna Hamilton Phelan";"Cher";"United States";8000000;"48230162.0";"Universal Pictures";120.0
"Legend";"PG";"Adventure";1985;"April 18, 1986 (United States)";6.4;62000.0;"Ridley Scott";"William Hjortsberg";"Tom Cruise";"United States";24500000;"15502112.0";"Legend Production Company";94.0
"The Return of the Living Dead";"R";"Comedy";1985;"August 16, 1985 (United States)";7.3;56000.0;"Dan O'Bannon";"Rudy Ricci";"Clu Gulager";"United States";4000000;"14237880.0";"Cinema '84";91.0
"St. Elmo's Fire";"R";"Drama";1985;"June 28, 1985 (United States)";6.4;38000.0;"Joel Schumacher";"Joel Schumacher";"Demi Moore";"United States";10000000;"37803872.0";"Columbia Pictures";110.0
"Brazil";"R";"Drama";1985;"December 18, 1985 (United States)";7.9;191000.0;"Terry Gilliam";"Terry Gilliam";"Jonathan Pryce";"United Kingdom";15000000;"9949953.0";"Embassy International Pictures";132.0
"Pale Rider";"R";"Drama";1985;"June 28, 1985 (United States)";7.3;55000.0;"Clint Eastwood";"Michael Butler";"Clint Eastwood";"United States";6900000;"41410568.0";"The Malpaso Company";115.0
"Teen Wolf";"PG";"Comedy";1985;"August 23, 1985 (United States)";6.1;48000.0;"Rod Daniel";"Jeph Loeb";"Michael J. Fox";"United States";0;"33086611.0";"Atlantic Entertainment Group";91.0
"Real Genius";"PG";"Comedy";1985;"August 7, 1985 (United States)";7.0;31000.0;"Martha Coolidge";"Neal Israel";"Val Kilmer";"United States";8000000;"12952019.0";"Delphi III Productions";108.0
"Commando";"R";"Action";1985;"October 4, 1985 (United States)";6.7;150000.0;"Mark L. Lester";"Jeph Loeb";"Arnold Schwarzenegger";"United States";10000000;"57491000.0";"SLM Production Group";90.0
"Witness";"R";"Crime";1985;"February 8, 1985 (United States)";7.4;89000.0;"Peter Weir";"William Kelley";"Harrison Ford";"United States";12000000;"68706993.0";"Paramount Pictures";112.0
"The Color Purple";"PG-13";"Drama";1985;"February 7, 1986 (United States)";7.8;81000.0;"Steven Spielberg";"Menno Meyjes";"Danny Glover";"United States";15000000;"98467863.0";"Amblin Entertainment";154.0
"Silverado";"PG-13";"Action";1985;"July 10, 1985 (United States)";7.2;40000.0;"Lawrence Kasdan";"Lawrence Kasdan";"Kevin Kline";"United States";26000000;"32192570.0";"Columbia Pictures";133.0
"Rocky IV";"PG";"Drama";1985;"November 27, 1985 (United States)";6.9;192000.0;"Sylvester Stallone";"Sylvester Stallone";"Sylvester Stallone";"United States";30000000;"300473716.0";"United Artists";91.0
"Better Off Dead...";"PG";"Comedy";1985;"October 11, 1985 (United States)";7.1;42000.0;"Savage Steve Holland";"Savage Steve Holland";"John Cusack";"United States";0;"10297601.0";"A&M Films";97.0
"Ran";"R";"Action";1985;"June 1, 1985 (Japan)";8.2;117000.0;"Akira Kurosawa";"Akira Kurosawa";"Tatsuya Nakadai";"Japan";11500000;"4164283.0";"Greenwich Film Productions";162.0
"Ladyhawke";"PG-13";"Adventure";1985;"April 12, 1985 (United States)";7.0;44000.0;"Richard Donner";"Edward Khmara";"Matthew Broderick";"United States";20000000;"18432000.0";"Twentieth Century Fox";121.0
"A Room with a View";"Not Rated";"Drama";1985;"April 11, 1986 (United Kingdom)";7.3;41000.0;"James Ivory";"E.M. Forster";"Maggie Smith";"United Kingdom";3000000;"21041453.0";"Goldcrest Films International";117.0
"Red Sonja";"PG-13";"Action";1985;"July 3, 1985 (United States)";5.1;39000.0;"Richard Fleischer";"Robert E. Howard";"Arnold Schwarzenegger";"United States";17900000;"6951415.0";"Dino De Laurentiis Company";89.0
"Fright Night";"R";"Fantasy";1985;"August 2, 1985 (United States)";7.1;63000.0;"Tom Holland";"Tom Holland";"Chris Sarandon";"United States";9000000;"24922237.0";"Columbia Pictures";106.0
"Explorers";"PG";"Adventure";1985;"July 12, 1985 (United States)";6.5;20000.0;"Joe Dante";"Eric Luke";"Ethan Hawke";"United States";25000000;"9873044.0";"Paramount Pictures";109.0
"Flesh+Blood";"R";"Adventure";1985;"August 30, 1985 (United States)";6.7;17000.0;"Paul Verhoeven";"Gerard Soeteman";"Rutger Hauer";"Netherlands";6500000;"";"Riverside Pictures";126.0
"Mad Max Beyond Thunderdome";"PG-13";"Action";1985;"July 10, 1985 (United States)";6.3;129000.0;"George Miller";"Terry Hayes";"Mel Gibson";"Australia";10000000;"36230219.0";"Kennedy Miller Productions";107.0
"After Hours";"R";"Comedy";1985;"October 11, 1985 (United States)";7.7;63000.0;"Martin Scorsese";"Joseph Minion";"Griffin Dunne";"United States";4500000;"10609321.0";"The Geffen Company";97.0
"A View to a Kill";"PG";"Action";1985;"May 24, 1985 (United States)";6.3;91000.0;"John Glen";"Richard Maibaum";"Roger Moore";"United Kingdom";30000000;"50327960.0";"Eon Productions";131.0
"Fletch";"PG";"Comedy";1985;"May 31, 1985 (United States)";6.9;49000.0;"Michael Ritchie";"Gregory McDonald";"Chevy Chase";"United States";8000000;"59612888.0";"Universal Pictures";98.0
"Perfect";"R";"Drama";1985;"June 7, 1985 (United States)";4.5;4800.0;"James Bridges";"Aaron Latham";"John Travolta";"United States";19000000;"12918858.0";"Columbia Pictures";115.0
"A Nightmare on Elm Street 2: Freddy's Revenge";"R";"Horror";1985;"November 1, 1985 (United States)";5.5;63000.0;"Jack Sholder";"David Chaskin";"Robert Englund";"United States";3000000;"29999213.0";"New Line Cinema";87.0
"Summer Rental";"PG";"Comedy";1985;"August 9, 1985 (United States)";6.3;15000.0;"Carl Reiner";"Jeremy Stevens";"John Candy";"United States";0;"24689703.0";"Paramount Pictures";87.0
"Lifeforce";"R";"Action";1985;"June 21, 1985 (United States)";6.2;24000.0;"Tobe Hooper";"Colin Wilson";"Steve Railsback";"United Kingdom";25000000;"11603545.0";"Golan-Globus Productions";101.0
"Pee-wee's Big Adventure";"PG";"Adventure";1985;"August 9, 1985 (United States)";7.0;50000.0;"Tim Burton";"Phil Hartman";"Paul Reubens";"United States";6000000;"40940662.0";"Warner Bros.";91.0
